customerID,gender,SeniorCitizen,Partner,Dependents,tenure,InternetService,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00001,Male,0,Yes,No,38,Fiber optic,Yes,Month-to-month,No,Bank transfer (automatic),77.75,2810.88,No
CUST-00002,Female,0,Yes,No,6,Fiber optic,No,Two year,No,Mailed check,83.16,541.15,Yes
CUST-00003,Female,1,Yes,No,63,Fiber optic,No,Month-to-month,No,Credit card (automatic),63.34,4136.02,No
CUST-00004,Male,0,No,No,9,DSL,No,One year,Yes,Credit card (automatic),38.82,509.06,No
CUST-00005,Male,0,No,Yes,63,DSL,No,Month-to-month,No,Mailed check,34.53,2144.17,No
CUST-00006,Female,0,No,Yes,55,No,No internet service,One year,No,Credit card (automatic),18.92,1147.87,No
CUST-00007,Male,0,No,Yes,69,No,No internet service,One year,No,Bank transfer (automatic),23.38,1531.5,No
CUST-00008,Female,1,Yes,Yes,1,No,No internet service,Month-to-month,Yes,Electronic check,23.47,0.0,Yes
CUST-00009,Male,1,Yes,No,15,No,No internet service,One year,No,Credit card (automatic),36.34,592.92,No
CUST-00010,Male,1,Yes,Yes,3,Fiber optic,No,Month-to-month,Yes,Mailed check,83.55,210.48,Yes
CUST-00011,Female,0,No,No,30,No,No internet service,Two year,Yes,Bank transfer (automatic),18.0,388.33,No
CUST-00012,Female,0,No,Yes,66,Fiber optic,No,Month-to-month,No,Bank transfer (automatic),70.96,4783.35,Yes
CUST-00013,Female,0,Yes,Yes,55,Fiber optic,No,One year,No,Credit card (automatic),62.94,3362.27,No
CUST-00014,Female,0,No,No,51,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.0,855.6,Yes
CUST-00015,Female,0,Yes,No,61,Fiber optic,No,One year,No,Credit card (automatic),80.33,5027.12,No
CUST-00016,Female,0,Yes,No,0,Fiber optic,Yes,Month-to-month,No,Electronic check,91.82,64.46,Yes
